Sum of actual_lead_time_days,Sum of delay_days,Sum of base_lead_time_days,delivery_status,delay_days (bins),destination_city,disruption_event,Sum of geopolitical_risk_index,Sum of inflation_rate_pct,Sum of is_delayed,Sum of lead_time_variance_days,mitigation_action_taken,Sum of on_time_flag,order_date,Sum of order_weight_kg,order_id,origin_city,product_category,risk_band,Sum of risk_bucket,Sum of risk_score,route_type,Sum of scheduled_lead_time_days,Sum of shipping_cost_usd,transportation_mode,Sum of weather_severity_index
35,0,35,On Time,0,"Shanghai, CN",None,0.63,2.22,0,-3,Standard Shipping,1,2024-05-29 00:00:00,1834,ORD-D85F2FD4,"Santos, BR",Perishable Foods,High,3,3.458,Commodity,38,1494.71,Sea,7.8
36,0,35,On Time,0,"Shanghai, CN",None,0.62,2.1,0,0,Standard Shipping,1,2024-05-30 00:00:00,4793,ORD-50E03D84,"Santos, BR",Textiles,Medium,2,3.044,Commodity,36,3882.33,Sea,6.7
35,0,35,On Time,0,"Shanghai, CN",None,0.14,2.33,0,-2,Standard Shipping,1,2024-05-30 00:00:00,2614,ORD-7DADC72D,"Santos, BR",Raw Materials,Low,1,1.719,Commodity,37,1489.98,Sea,3.4
35,0,35,On Time,0,"Shanghai, CN",None,0.26,3.61,0,-2,Standard Shipping,1,2024-05-31 00:00:00,8989,ORD-FDA00916,"Santos, BR",Textiles,Medium,2,3.149,Commodity,37,5663.07,Sea,6.6
35,0,35,On Time,0,"Shanghai, CN",None,0.36,4.16,0,-2,Standard Shipping,1,2024-06-04 00:00:00,4560,ORD-32E33492,"Santos, BR",Perishable Foods,High,3,3.689,Commodity,37,3100.8,Sea,7.7
3,0,4,On Time,0,"Shanghai, CN",None,0.86,1.83,0,-2,Standard Shipping,1,2024-06-04 00:00:00,9006,ORD-39A3ACAD,"Santos, BR",Semiconductors,Medium,2,3.133,Commodity,5,92131.38,Air,6.8
3,0,4,On Time,0,"Shanghai, CN",None,0.2,2.74,0,-3,Standard Shipping,1,2024-06-06 00:00:00,3728,ORD-66A3C0A1,"Santos, BR",Pharmaceuticals,Low,1,1.688,Commodity,6,24604.8,Air,3
35,0,35,On Time,0,"Shanghai, CN",None,0.78,4.76,0,-3,Standard Shipping,1,2024-06-06 00:00:00,3207,ORD-8064F018,"Santos, BR",Perishable Foods,Low,1,1.898,Commodity,38,2854.23,Sea,1.7
34,0,35,On Time,0,"Shanghai, CN",None,0.84,4.98,0,-2,Standard Shipping,1,2024-06-10 00:00:00,1911,ORD-0CE933E2,"Santos, BR",Pharmaceuticals,Low,1,1.619,Commodity,36,1758.12,Sea,0.7
36,0,35,On Time,0,"Shanghai, CN",None,0.25,1.62,0,-2,Standard Shipping,1,2024-06-18 00:00:00,5945,ORD-AF69B8AB,"Santos, BR",Consumer Electronics,Low,1,1.837,Commodity,38,3715.62,Sea,4
35,0,35,On Time,0,"Shanghai, CN",None,0.66,3.54,0,-1,Standard Shipping,1,2024-06-22 00:00:00,7873,ORD-41C6F77E,"Santos, BR",Textiles,Medium,2,2.65,Commodity,36,6534.59,Sea,4.7
35,0,35,On Time,0,"Shanghai, CN",None,0.59,2.61,0,-2,Standard Shipping,1,2024-06-23 00:00:00,5040,ORD-2E96C4C3,"Santos, BR",Textiles,Medium,2,2.923,Commodity,37,4006.8,Sea,6.1
35,0,35,On Time,0,"Shanghai, CN",None,0.18,2.57,0,-1,Standard Shipping,1,2024-06-26 00:00:00,2274,ORD-DAE969C6,"Santos, BR",Pharmaceuticals,Medium,2,2.065,Commodity,36,1341.66,Sea,4.2
36,0,35,On Time,0,"Shanghai, CN",None,0.82,3.4,0,-2,Standard Shipping,1,2024-06-27 00:00:00,1850,ORD-F7AEE91D,"Santos, BR",Pharmaceuticals,Low,1,1.714,Commodity,38,1683.5,Sea,1.9
35,0,35,On Time,0,"Shanghai, CN",None,0.59,5.54,0,-1,Standard Shipping,1,2024-06-28 00:00:00,622,ORD-B2EE6B8F,"Santos, BR",Textiles,High,3,4.699,Commodity,36,494.49,Sea,9.5
35,0,35,On Time,0,"Shanghai, CN",None,0.19,2.98,0,-2,Standard Shipping,1,2024-06-29 00:00:00,9113,ORD-79E7B900,"Santos, BR",Auto Parts,Low,1,0.682,Commodity,37,5422.23,Sea,0
34,0,35,On Time,0,"Shanghai, CN",None,0.63,4.02,0,-2,Standard Shipping,1,2024-06-30 00:00:00,7855,ORD-3FB828B0,"Santos, BR",Textiles,High,3,4.133,Commodity,36,6401.82,Sea,8.7
35,0,35,On Time,0,"Shanghai, CN",None,0.59,4.46,0,-2,Standard Shipping,1,2024-07-02 00:00:00,6176,ORD-AB8E2BA5,"Santos, BR",Consumer Electronics,High,3,3.958,Commodity,37,4909.92,Sea,8
35,0,35,On Time,0,"Shanghai, CN",None,0.88,2.28,0,-1,Standard Shipping,1,2024-07-05 00:00:00,2774,ORD-6C1714AA,"Santos, BR",Raw Materials,High,3,3.477,Commodity,36,2607.56,Sea,7.5
35,0,35,On Time,0,"Shanghai, CN",None,0.33,0.93,0,-2,Standard Shipping,1,2024-07-05 00:00:00,5726,ORD-93A0AEE7,"Santos, BR",Consumer Electronics,High,3,3.45,Commodity,37,3807.79,Sea,8.9
35,0,35,On Time,0,"Shanghai, CN",None,0.38,3.08,0,-1,Standard Shipping,1,2024-07-07 00:00:00,9622,ORD-4E0ABC88,"Santos, BR",Perishable Foods,Medium,2,2.642,Commodity,36,6639.18,Sea,5.3
33,0,35,On Time,0,"Shanghai, CN",None,0.46,4.19,0,-5,Standard Shipping,1,2024-07-08 00:00:00,889,ORD-962AA7AF,"Santos, BR",Auto Parts,High,3,3.67,Commodity,38,648.97,Sea,7.5
4,0,4,On Time,0,"Shanghai, CN",None,0.36,5.71,0,-3,Standard Shipping,1,2024-07-17 00:00:00,4277,ORD-8236233C,"Santos, BR",Semiconductors,Low,1,1.304,Commodity,7,31991.96,Air,0
35,0,35,On Time,0,"Shanghai, CN",None,0.36,2.29,0,-3,Standard Shipping,1,2024-07-20 00:00:00,4546,ORD-54704601,"Santos, BR",Perishable Foods,Low,1,1.985,Commodity,38,3091.28,Sea,3.9
35,0,35,On Time,0,"Shanghai, CN",None,0.77,1.63,0,-1,Standard Shipping,1,2024-07-20 00:00:00,6237,ORD-BB7E2D90,"Santos, BR",Textiles,Low,1,1.058,Commodity,36,5519.74,Sea,1.1
35,0,35,On Time,0,"Shanghai, CN",None,0.6,5.02,0,-2,Standard Shipping,1,2024-07-22 00:00:00,5157,ORD-6DBE45C6,"Santos, BR",Consumer Electronics,Medium,2,2.814,Commodity,37,4125.6,Sea,4.4
4,0,4,On Time,0,"Shanghai, CN",None,0.43,3.47,0,-2,Standard Shipping,1,2024-07-26 00:00:00,206,ORD-FA049AF6,"Santos, BR",Pharmaceuticals,High,3,4.318,Commodity,6,1620.19,Air,9.8
35,0,35,On Time,0,"Shanghai, CN",None,0.16,3.45,0,-2,Standard Shipping,1,2024-07-28 00:00:00,9104,ORD-78923FFC,"Santos, BR",Perishable Foods,High,3,3.492,Commodity,37,5280.32,Sea,7.8
36,0,35,On Time,0,"Shanghai, CN",None,0.49,2.36,0,-2,Standard Shipping,1,2024-07-30 00:00:00,1793,ORD-30A62357,"Santos, BR",Raw Materials,Low,1,1.778,Commodity,38,1335.79,Sea,3.1
4,0,4,On Time,0,"Shanghai, CN",None,0.39,2.75,0,-1,Standard Shipping,1,2024-08-05 00:00:00,8761,ORD-15FA9E42,"Santos, BR",Pharmaceuticals,Medium,2,2.161,Commodity,5,66977.85,Air,4.1
36,0,35,On Time,0,"Shanghai, CN",None,0.51,3.39,0,-1,Standard Shipping,1,2024-08-06 00:00:00,2872,ORD-5380592D,"Santos, BR",Auto Parts,High,3,3.253,Commodity,37,2168.36,Sea,6.7
35,0,35,On Time,0,"Shanghai, CN",None,0.55,3.29,0,-1,Standard Shipping,1,2024-08-13 00:00:00,111,ORD-850A7B9E,"Santos, BR",Auto Parts,High,3,3.881,Commodity,36,86.03,Sea,8.5
35,0,35,On Time,0,"Shanghai, CN",None,0.66,4.44,0,-3,Standard Shipping,1,2024-08-14 00:00:00,7644,ORD-297B964A,"Santos, BR",Pharmaceuticals,High,3,3.25,Commodity,38,6344.52,Sea,5.9
35,0,35,On Time,0,"Shanghai, CN",None,0.61,4.91,0,-3,Standard Shipping,1,2024-08-16 00:00:00,2181,ORD-0244AAE6,"Santos, BR",Consumer Electronics,High,3,3.952,Commodity,38,1755.7,Sea,7.7
36,0,35,On Time,0,"Shanghai, CN",None,0.36,2.04,0,0,Standard Shipping,1,2024-08-16 00:00:00,2558,ORD-4E457225,"Santos, BR",Perishable Foods,Medium,2,2.355,Commodity,36,1739.44,Sea,5.1
37,0,35,On Time,0,"Shanghai, CN",None,0.89,6.41,0,0,Standard Shipping,1,2024-08-24 00:00:00,1893,ORD-9015174A,"Santos, BR",Textiles,High,3,4.028,Commodity,37,1788.89,Sea,6.7
36,0,35,On Time,0,"Shanghai, CN",None,0.72,3.19,0,0,Standard Shipping,1,2024-08-26 00:00:00,2545,ORD-AA92661F,"Santos, BR",Raw Materials,Low,1,1.452,Commodity,36,2188.7,Sea,1.4
35,0,35,On Time,0,"Shanghai, CN",None,0.75,4.14,0,-2,Standard Shipping,1,2024-08-26 00:00:00,5996,ORD-D2B1B0E6,"Santos, BR",Raw Materials,Low,1,1.271,Commodity,37,5246.5,Sea,0.3
36,0,35,On Time,0,"Shanghai, CN",None,0.45,3.92,0,-2,Standard Shipping,1,2024-08-30 00:00:00,837,ORD-F6117B7B,"Santos, BR",Textiles,High,3,4.347,Commodity,38,606.82,Sea,9.6
35,0,35,On Time,0,"Shanghai, CN",None,0.66,2.89,0,-2,Standard Shipping,1,2024-09-01 00:00:00,8391,ORD-8C4EACE2,"Santos, BR",Perishable Foods,High,3,4.025,Commodity,37,6964.53,Sea,9
5,0,4,On Time,0,"Shanghai, CN",None,0.2,3.47,0,-2,Standard Shipping,1,2024-09-03 00:00:00,1177,ORD-7E6B2FEC,"Santos, BR",Semiconductors,Low,1,1.029,Commodity,7,7768.2,Air,0.7
35,0,35,On Time,0,"Shanghai, CN",None,0.42,1.13,0,-3,Standard Shipping,1,2024-09-03 00:00:00,6717,ORD-EA246D7D,"Santos, BR",Consumer Electronics,Low,1,1.395,Commodity,38,4769.07,Sea,2.8
34,0,35,On Time,0,"Shanghai, CN",None,0.34,6.38,0,-2,Standard Shipping,1,2024-09-06 00:00:00,9404,ORD-B3FB9AE7,"Santos, BR",Textiles,Medium,2,2.794,Commodity,36,6300.68,Sea,3.9
35,0,35,On Time,0,"Shanghai, CN",None,0.59,0.35,0,-1,Standard Shipping,1,2024-09-12 00:00:00,8000,ORD-6A20C55D,"Santos, BR",Consumer Electronics,Low,1,1.351,Commodity,36,6360,Sea,2.9
35,0,35,On Time,0,"Shanghai, CN",None,0.3,3.29,0,-2,Standard Shipping,1,2024-09-15 00:00:00,8217,ORD-2ABF8670,"Santos, BR",Textiles,High,3,4.083,Commodity,37,5341.05,Sea,9.4
35,0,35,On Time,0,"Shanghai, CN",None,0.82,3.38,0,-2,Standard Shipping,1,2024-09-17 00:00:00,1421,ORD-43F274B6,"Santos, BR",Raw Materials,Medium,2,2.795,Commodity,37,1293.11,Sea,5
35,0,35,On Time,0,"Shanghai, CN",None,0.46,3.18,0,-3,Standard Shipping,1,2024-09-21 00:00:00,1098,ORD-24D3B61F,"Santos, BR",Semiconductors,Low,1,1.263,Commodity,38,801.54,Sea,1.2
34,0,35,On Time,0,"Shanghai, CN",None,0.7,7.92,0,-4,Standard Shipping,1,2024-09-23 00:00:00,6048,ORD-98EEB5EB,"Santos, BR",Auto Parts,Medium,2,2.599,Commodity,38,5140.8,Sea,2
35,0,35,On Time,0,"Shanghai, CN",None,0.61,3.69,0,-3,Standard Shipping,1,2024-09-26 00:00:00,978,ORD-0AF05114,"Santos, BR",Raw Materials,High,3,3.708,Commodity,38,787.29,Sea,7.7
34,0,35,On Time,0,"Shanghai, CN",None,0.16,2.74,0,-4,Standard Shipping,1,2024-09-28 00:00:00,2849,ORD-CAE9B1E1,"Santos, BR",Textiles,High,3,3.455,Commodity,38,1652.42,Sea,8.1
35,0,35,On Time,0,"Shanghai, CN",None,0.18,4.11,0,-3,Standard Shipping,1,2024-09-30 00:00:00,1881,ORD-DDDDA301,"Santos, BR",Textiles,Medium,2,2.338,Commodity,38,1109.79,Sea,4.1
35,0,35,On Time,0,"Shanghai, CN",None,0.57,3.41,0,-1,Standard Shipping,1,2024-10-01 00:00:00,6672,ORD-3A43555D,"Santos, BR",Textiles,High,3,3.634,Commodity,36,5237.52,Sea,7.7
35,0,35,On Time,0,"Shanghai, CN",None,0.35,5.62,0,-1,Standard Shipping,1,2024-10-02 00:00:00,4529,ORD-EFD096B5,"Santos, BR",Raw Materials,Medium,2,2.752,Commodity,36,3057.08,Sea,4.2
35,0,35,On Time,0,"Shanghai, CN",None,0.6,4.99,0,-2,Standard Shipping,1,2024-10-04 00:00:00,2189,ORD-08128771,"Santos, BR",Auto Parts,High,3,4.768,Commodity,37,1751.2,Sea,10
35,0,35,On Time,0,"Shanghai, CN",None,0.37,4.79,0,-2,Standard Shipping,1,2024-10-05 00:00:00,6386,ORD-E2432398,"Santos, BR",Auto Parts,Medium,2,2.14,Commodity,37,4374.41,Sea,2.9
4,0,4,On Time,0,"Shanghai, CN",None,0.31,2.3,0,-1,Standard Shipping,1,2024-10-06 00:00:00,4374,ORD-D9C4419B,"Santos, BR",Pharmaceuticals,Low,1,1.65,Commodity,5,31514.67,Air,3
35,0,35,On Time,0,"Shanghai, CN",None,0.86,2.71,0,-1,Standard Shipping,1,2024-10-09 00:00:00,5305,ORD-2031BF5E,"Santos, BR",Consumer Electronics,High,3,3.624,Commodity,36,4933.65,Sea,7.7
35,0,35,On Time,0,"Shanghai, CN",None,0.28,2.1,0,-2,Standard Shipping,1,2024-10-12 00:00:00,8221,ORD-1A8B37A6,"Santos, BR",Raw Materials,High,3,3.591,Commodity,37,5261.44,Sea,8.7
34,0,35,On Time,0,"Shanghai, CN",None,0.24,5.44,0,-2,Standard Shipping,1,2024-10-14 00:00:00,4563,ORD-72997A03,"Santos, BR",Auto Parts,Low,1,1.406,Commodity,36,2829.06,Sea,0.6
33,0,35,On Time,0,"Shanghai, CN",None,0.22,1.95,0,-3,Standard Shipping,1,2024-10-20 00:00:00,4048,ORD-101FB8F2,"Santos, BR",Perishable Foods,Low,1,1.679,Commodity,36,2469.28,Sea,3.4
35,0,35,On Time,0,"Shanghai, CN",None,0.41,3.83,0,-2,Standard Shipping,1,2024-10-26 00:00:00,6317,ORD-96916EB8,"Santos, BR",Raw Materials,Low,1,1.791,Commodity,37,4453.48,Sea,2.4
35,0,35,On Time,0,"Shanghai, CN",None,0.43,5.31,0,-2,Standard Shipping,1,2024-10-27 00:00:00,2618,ORD-FD649F30,"Santos, BR",Consumer Electronics,High,3,3.881,Commodity,37,1871.87,Sea,7.5
33,0,35,On Time,0,"Shanghai, CN",None,0.87,3.63,0,-3,Standard Shipping,1,2024-11-01 00:00:00,1089,ORD-2AF09116,"Santos, BR",Auto Parts,High,3,4.128,Commodity,36,1018.22,Sea,8.6
4,0,4,On Time,0,"Shanghai, CN",None,0.7,2.03,0,-2,Standard Shipping,1,2024-11-08 00:00:00,8943,ORD-12AC6A17,"Santos, BR",Pharmaceuticals,Low,1,1.211,Commodity,6,83617.05,Air,1.4
3,0,4,On Time,0,"Shanghai, CN",None,0.14,4.41,0,-2,Standard Shipping,1,2024-11-08 00:00:00,6973,ORD-14786D3B,"Santos, BR",Pharmaceuticals,Medium,2,2.87,Commodity,5,43720.71,Air,5.5
4,0,4,On Time,0,"Shanghai, CN",None,0.57,3.35,0,-1,Standard Shipping,1,2024-11-08 00:00:00,5883,ORD-F12151A3,"Santos, BR",Pharmaceuticals,High,3,3.377,Commodity,5,50799.7,Air,7
34,0,35,On Time,0,"Shanghai, CN",None,0.24,3.05,0,-4,Standard Shipping,1,2024-11-10 00:00:00,4284,ORD-CEBDCD6C,"Santos, BR",Auto Parts,Medium,2,3.168,Commodity,38,2656.08,Sea,7
5,0,4,On Time,0,"Shanghai, CN",None,0.42,4.26,0,-2,Standard Shipping,1,2024-11-17 00:00:00,8877,ORD-5A99CFD0,"Santos, BR",Pharmaceuticals,Low,1,1.391,Commodity,7,69329.37,Air,1
34,0,35,On Time,0,"Shanghai, CN",None,0.62,2.89,0,-4,Standard Shipping,1,2024-11-17 00:00:00,1244,ORD-A485C97A,"Santos, BR",Semiconductors,High,3,3.657,Commodity,38,1007.64,Sea,8
35,0,35,On Time,0,"Shanghai, CN",None,0.42,2.62,0,-3,Standard Shipping,1,2024-11-23 00:00:00,7598,ORD-565E55B9,"Santos, BR",Consumer Electronics,High,3,3.513,Commodity,38,5394.58,Sea,8
4,0,4,On Time,0,"Shanghai, CN",None,0.12,4.03,0,-1,Standard Shipping,1,2024-11-24 00:00:00,1451,ORD-5B041288,"Santos, BR",Semiconductors,Low,1,1.07,Commodity,5,8938.16,Air,0.6
3,0,4,On Time,0,"Shanghai, CN",None,0.25,2.81,0,-2,Standard Shipping,1,2024-11-25 00:00:00,7203,ORD-D8D6E4C3,"Santos, BR",Pharmaceuticals,High,3,4,Commodity,5,49520.62,Air,9.5
35,0,35,On Time,0,"Shanghai, CN",None,0.89,5.32,0,-1,Standard Shipping,1,2024-11-27 00:00:00,4197,ORD-0411A564,"Santos, BR",Pharmaceuticals,Low,1,2.025,Commodity,36,3966.17,Sea,1.6
35,0,35,On Time,0,"Shanghai, CN",None,0.31,3.8,0,-2,Standard Shipping,1,2024-11-27 00:00:00,3291,ORD-0D1EEF44,"Santos, BR",Textiles,Low,1,2.055,Commodity,37,2155.61,Sea,3.3
35,0,35,On Time,0,"Shanghai, CN",None,0.18,4.48,0,-1,Standard Shipping,1,2024-11-27 00:00:00,7108,ORD-5471FD62,"Santos, BR",Auto Parts,Medium,2,2.447,Commodity,36,4193.72,Sea,4.2
35,0,35,On Time,0,"Shanghai, CN",None,0.75,3.2,0,-2,Standard Shipping,1,2024-11-28 00:00:00,6095,ORD-3DE894FF,"Santos, BR",Consumer Electronics,Low,1,1.993,Commodity,37,5333.12,Sea,2.9
33,0,35,On Time,0,"Shanghai, CN",None,0.84,3.38,0,-4,Standard Shipping,1,2024-11-30 00:00:00,1778,ORD-8D338105,"Santos, BR",Perishable Foods,Medium,2,2.419,Commodity,37,1635.76,Sea,3.9
35,0,35,On Time,0,"Shanghai, CN",None,0.33,4.51,0,-3,Standard Shipping,1,2024-12-03 00:00:00,4631,ORD-4F4477EF,"Santos, BR",Consumer Electronics,High,3,3.816,Commodity,38,3079.62,Sea,7.9
3,0,4,On Time,0,"Shanghai, CN",None,0.89,4.68,0,-2,Standard Shipping,1,2024-12-05 00:00:00,2057,ORD-99468E72,"Santos, BR",Pharmaceuticals,Medium,2,2.597,Commodity,5,21382.52,Air,3.6
34,0,35,On Time,0,"Shanghai, CN",None,0.46,1.33,0,-3,Standard Shipping,1,2024-12-07 00:00:00,5147,ORD-FD3D9F20,"Santos, BR",Consumer Electronics,Low,1,1.908,Commodity,37,3757.31,Sea,4.1
35,0,35,On Time,0,"Shanghai, CN",None,0.35,0.43,0,-3,Standard Shipping,1,2024-12-09 00:00:00,3038,ORD-725E2607,"Santos, BR",Auto Parts,Low,1,1.749,Commodity,38,2050.65,Sea,4.3
34,0,35,On Time,0,"Shanghai, CN",None,0.24,3.63,0,-3,Standard Shipping,1,2024-12-11 00:00:00,4639,ORD-9A536B18,"Santos, BR",Textiles,Low,1,1.639,Commodity,37,2876.18,Sea,2.3
35,0,35,On Time,0,"Shanghai, CN",None,0.54,2.23,0,-3,Standard Shipping,1,2024-12-12 00:00:00,3192,ORD-DAF74BA8,"Santos, BR",Consumer Electronics,Low,1,0.724,Commodity,38,2457.84,Sea,0.1
35,0,35,On Time,0,"Shanghai, CN",None,0.49,3.02,0,-2,Standard Shipping,1,2024-12-14 00:00:00,448,ORD-A6ACEB78,"Santos, BR",Auto Parts,High,3,3.45,Commodity,37,333.76,Sea,7.5
36,0,35,On Time,0,"Shanghai, CN",None,0.52,5.25,0,-1,Standard Shipping,1,2024-12-19 00:00:00,2772,ORD-71CF1211,"Santos, BR",Auto Parts,High,3,4.574,Commodity,37,2106.72,Sea,9.4
3,0,4,On Time,0,"Shanghai, CN",None,0.65,4.32,0,-4,Standard Shipping,1,2024-12-23 00:00:00,1868,ORD-1BDE75A7,"Santos, BR",Semiconductors,Medium,2,2.767,Commodity,7,16952.1,Air,4.6
35,0,35,On Time,0,"Shanghai, CN",None,0.74,2.68,0,-2,Standard Shipping,1,2024-12-24 00:00:00,9734,ORD-96A83EC8,"Santos, BR",Consumer Electronics,Low,1,1.989,Commodity,37,8468.58,Sea,3.2
4,0,4,On Time,0,"Shanghai, CN",None,0.79,2.25,0,-2,Standard Shipping,1,2024-12-25 00:00:00,5452,ORD-36B87B6A,"Santos, BR",Semiconductors,High,3,4.166,Commodity,6,53674.94,Air,9.6
34,0,35,On Time,0,"Shanghai, CN",None,0.67,1.58,0,-3,Standard Shipping,1,2024-12-27 00:00:00,8720,ORD-7412A491,"Santos, BR",Auto Parts,Medium,2,2.683,Commodity,37,7281.2,Sea,5.9
35,0,35,On Time,0,"Shanghai, CN",None,0.3,3.13,0,-1,Standard Shipping,1,2024-12-29 00:00:00,8070,ORD-63DC6ECB,"Santos, BR",Perishable Foods,Medium,2,2.231,Commodity,36,5245.5,Sea,4.2
34,0,35,On Time,0,"Shanghai, CN",None,0.83,4.35,0,-3,Standard Shipping,1,2024-12-30 00:00:00,1740,ORD-AFC580BF,"Santos, BR",Textiles,Medium,2,3.169,Commodity,37,1592.1,Sea,5.5
35,0,35,On Time,0,"Shanghai, CN",None,0.21,3.45,0,-2,Standard Shipping,1,2024-12-31 00:00:00,3301,ORD-63F8A4B9,"Santos, BR",Textiles,Low,1,1.1,Commodity,37,1997.11,Sea,0.9
35,0,35,On Time,0,"Shanghai, CN",None,0.16,3.44,0,-1,Standard Shipping,1,2024-12-31 00:00:00,6426,ORD-7455E813,"Santos, BR",Textiles,Medium,2,2.125,Commodity,36,3727.08,Sea,3.9
4,0,4,On Time,0,"Shanghai, CN",None,0.46,4.31,0,-2,Standard Shipping,1,2024-12-31 00:00:00,2693,ORD-AA1F0353,"Santos, BR",Pharmaceuticals,Low,1,1.279,Commodity,6,21624.79,Air,0.6
35,0,35,On Time,0,"Shanghai, CN",None,0.81,4.15,0,-3,Standard Shipping,1,2025-01-04 00:00:00,3993,ORD-94383715,"Santos, BR",Perishable Foods,High,3,3.26,Commodity,38,3613.66,Sea,5.9
36,0,35,On Time,0,"Shanghai, CN",None,0.31,3.82,0,0,Standard Shipping,1,2025-01-07 00:00:00,3168,ORD-133DF868,"Santos, BR",Consumer Electronics,Low,1,1.954,Commodity,36,2075.04,Sea,3
36,0,35,On Time,0,"Shanghai, CN",None,0.82,3.14,0,-2,Standard Shipping,1,2025-01-10 00:00:00,2285,ORD-2A18266A,"Santos, BR",Perishable Foods,Medium,2,2.187,Commodity,38,2079.35,Sea,3.4
4,0,4,On Time,0,"Shanghai, CN",None,0.6,2.96,0,-1,Standard Shipping,1,2025-01-10 00:00:00,803,ORD-D93FC524,"Santos, BR",Pharmaceuticals,Medium,2,3.067,Commodity,5,7066.4,Air,6.3
35,0,35,On Time,0,"Shanghai, CN",None,0.31,4.13,0,-1,Standard Shipping,1,2025-01-12 00:00:00,4027,ORD-8A40CB3F,"Santos, BR",Pharmaceuticals,Low,1,1.456,Commodity,36,2637.68,Sea,1.4
4,0,4,On Time,0,"Shanghai, CN",None,0.18,2.79,0,-2,Standard Shipping,1,2025-01-17 00:00:00,4720,ORD-66B33B64,"Santos, BR",Pharmaceuticals,Medium,2,3.194,Commodity,6,30632.8,Air,7.3
4,0,4,On Time,0,"Shanghai, CN",None,0.28,1.73,0,-1,Standard Shipping,1,2025-01-18 00:00:00,6954,ORD-42669339,"Santos, BR",Pharmaceuticals,Medium,2,2.887,Commodity,5,48956.16,Air,6.9
34,0,35,On Time,0,"Shanghai, CN",None,0.59,2.66,0,-2,Standard Shipping,1,2025-01-18 00:00:00,5278,ORD-B1DD487E,"Santos, BR",Raw Materials,Medium,2,2.863,Commodity,36,4196.01,Sea,5.9
36,0,35,On Time,0,"Shanghai, CN",None,0.59,3.36,0,-1,Standard Shipping,1,2025-01-19 00:00:00,1492,ORD-23A10D11,"Santos, BR",Textiles,Medium,2,2.338,Commodity,37,1186.14,Sea,4
34,0,35,On Time,0,"Shanghai, CN",None,0.76,2.78,0,-3,Standard Shipping,1,2025-01-23 00:00:00,5557,ORD-D56F6B00,"Santos, BR",Perishable Foods,Low,1,1.843,Commodity,37,4890.16,Sea,2.7
35,0,35,On Time,0,"Shanghai, CN",None,0.79,5.14,0,-2,Standard Shipping,1,2025-01-31 00:00:00,2589,ORD-8EBC9551,"Santos, BR",Textiles,High,3,3.974,Commodity,37,2317.16,Sea,7.4
35,0,35,On Time,0,"Shanghai, CN",None,0.14,3.63,0,-3,Standard Shipping,1,2025-02-01 00:00:00,1231,ORD-89846F5C,"Santos, BR",Auto Parts,Low,1,1.384,Commodity,38,701.67,Sea,1.7
35,0,35,On Time,0,"Shanghai, CN",None,0.88,1.58,0,-1,Standard Shipping,1,2025-02-04 00:00:00,5796,ORD-03F41ABB,"Santos, BR",Consumer Electronics,High,3,3.967,Commodity,36,5448.24,Sea,9.3
4,0,4,On Time,0,"Shanghai, CN",None,0.89,1.22,0,-3,Standard Shipping,1,2025-02-05 00:00:00,5639,ORD-FD02EA7D,"Santos, BR",Pharmaceuticals,High,3,3.41,Commodity,7,58617.41,Air,7.9
36,0,35,On Time,0,"Shanghai, CN",None,0.56,1.47,0,-1,Standard Shipping,1,2025-02-06 00:00:00,1238,ORD-81386F8C,"Santos, BR",Auto Parts,Low,1,1.141,Commodity,37,965.64,Sea,1.7
36,0,35,On Time,0,"Shanghai, CN",None,0.87,2.98,0,0,Standard Shipping,1,2025-02-06 00:00:00,9697,ORD-8EF0F6E1,"Santos, BR",Textiles,High,3,3.473,Commodity,36,9066.69,Sea,7.1
35,0,35,On Time,0,"Shanghai, CN",None,0.84,4.34,0,-2,Standard Shipping,1,2025-02-07 00:00:00,3794,ORD-EC77F98E,"Santos, BR",Textiles,High,3,3.416,Commodity,37,3490.48,Sea,6.2
35,0,35,On Time,0,"Shanghai, CN",None,0.49,3.18,0,-1,Standard Shipping,1,2025-02-07 00:00:00,6393,ORD-F4065765,"Santos, BR",Auto Parts,Medium,2,2.537,Commodity,36,4762.78,Sea,4.8
35,0,35,On Time,0,"Shanghai, CN",None,0.76,2.61,0,-1,Standard Shipping,1,2025-02-08 00:00:00,5896,ORD-0DA35AE7,"Santos, BR",Perishable Foods,Medium,2,2.789,Commodity,36,5188.48,Sea,5.5
35,0,35,On Time,0,"Shanghai, CN",None,0.77,2.83,0,-2,Standard Shipping,1,2025-02-11 00:00:00,1092,ORD-7F738AE3,"Santos, BR",Semiconductors,Low,1,2.033,Commodity,37,966.42,Sea,3.2
34,0,35,On Time,0,"Shanghai, CN",None,0.42,2.25,0,-4,Standard Shipping,1,2025-02-13 00:00:00,8258,ORD-E4A833A5,"Santos, BR",Consumer Electronics,Medium,2,2.949,Commodity,38,5863.18,Sea,6.6
4,0,4,On Time,0,"Shanghai, CN",None,0.18,3.53,0,-1,Standard Shipping,1,2025-02-14 00:00:00,7881,ORD-CE15FFCA,"Santos, BR",Pharmaceuticals,High,3,4.252,Commodity,5,51147.69,Air,9.9
4,0,4,On Time,0,"Shanghai, CN",None,0.88,5.05,0,-1,Standard Shipping,1,2025-02-15 00:00:00,9191,ORD-F00E9B3B,"Santos, BR",Semiconductors,Medium,2,2.771,Commodity,5,95034.94,Air,3.9
